COLEGIO,DISTRITO,GESTIÓN
Cambridge College   Lima,Chorrillos,Privada
IEI 42 Elizabeth   Espejo de Marroquín,Miraflores,Pública
Alexander von   Humboldt,Miraflores,Privada
Inmaculado   Corazón,Miraflores,Privada
Cuna Jardín   Caritas Graciosas,Miraflores,Privada
Asociación Colegio Pestalozzi,Miraflores,Privada
Markham,Miraflores,Privada
San Silvestre,Miraflores,Privada
Villa María,Miraflores,Privada
Jardín de la   Amistad,Miraflores,Privada
San Ignacio de   Recalde School,San Borja,Privada
Franco Peruano,Surco,Privada
Hiram Bingham,Surco,Privada
Peruano Británico,Surco,Privada
Augusto   Weberbauer,Surco,Privada
IEI Semilla Azul,Surco,Privada
