pais,prom_edu,exp_edu,alfab,prim_com,sec_com,ter_com,ter_desa
 Argentina,"10,9","17,7","99,0",99,70,18,39
 Bolivia,"9,0","14,2","92,5",97,56,25,45
 Brasil,"8,0","15,4","93,2",94,64,17,19
 Chile,"10,6","16,4","96,4",99,86,30,43
 Colombia,"8,5","14,4","95,1",98,75,35,28
 Costa Rica,"8,7","15,7","97,9",98,63,28,30
 Cuba,"11,8","14,3","99,8",99,84,—,—
 Ecuador,"8,9","14,6","92,8",96,63,—,—
 El Salvador,"6,9","11,7","89,0",87,35,15,17
 Guatemala,"6,6","10,8","81,3",76,33,8,9
 Haití,"5,6","9,7","61,7",63,14,7,5
 Honduras,"6,6","10,1","87,2",81,34,8,11
 México,"8,8","14,8","95,4",97,51,23,22
 Nicaragua,"6,9","12,3","82,6",75,17,—,13
 Panamá,"10,2","12,9","95,4",96,61,18,33
 Paraguay,"8,5","12,7","94,0",96,—,22,—
 Perú,"9,7","15,0","94,4",95,72,15,29
 Puerto Rico,—,—,"92,4",—,—,—,—
R. Dominicana,"8,1","14,2","93,8",92,56,15,20
 Uruguay,"8,9","16,8","98,7",97,35,16,20
 Venezuela,"10,3","12,8","97,1",—,—,—,—
