NOMBRE,CARGO
Juan Raúl Cadillo León,Ministro de Educación
Wilfredo Tomas Rimari Arias,Viceministro de Gestión Institucional
Vanessa Ysabel Toribio Vargas,Viceministra de Gestión Pedagógica
Carlos Martín Arámbulo Quiroz,Jefe de Gabinete de Asesores del Despacho Ministerial
Luis Humberto Ñañez Aldaz,Secretario de Planificación Estratégica
Fátima Soraya Altabás Kajatt,Secretaria General 
María del Carmen Marquez Ramírez,Procuradora Pública del Ministerio de Educación
Cecilia del Carmen Sobrino Ampuero,Jefa de la Oficina General de Administración
Eduardo Jaime Alfaro Esparza,Jefe de la Oficina General de Recursos Humanos
Mónica María Díaz García,Jefe de la Oficina General de Asesoría Jurídica
Antonio Gerardo Salazar García,Jefe de la Oficina de Diálogo
Pedro Francisco Hurtado Cánepa,Jefe (e) de la Oficina General de Comunicaciones
Silvia Rosa Martínez Jiménez,Jefa de la Oficina General de Cooperación y Asuntos Internacionales
Max Ever Ponce Soldevilla,Jefe de la Oficina de Tecnologías de la Información y Comunicación
Nadia Yesquén Puertas,Jefa de la Oficina de Planificación Estratégica y Presupuesto 
Ana Isabel Pari Morales ,"Jefa de la Oficina General de Transparencia, Ética Pública y Anticorrupción"
Gisela Janett Cruz Silva,Jefa de la Oficina de Atención al Ciudadano y Gestión Documental
Sergio Alex Alvarez Gutierrez,Jefe de la Oficina de Defensa Nacional y de Gestión del Riesgo de Desastres
Jorge Eduardo Mori Valenzuela,Director General de la Dirección General de Educación Superior Universitaria
Rosa Mariella Zapata Tipian,Directora General de la Dirección General de Calidad de la Gestión Escolar
